URL_Link,URL_Imagem,IDForm,Titulo
https://www.brabbu.com/resources/pdfFiles/priceListWW/brabbu_price_list_world.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/07e93765-aeae-4394-8ecf-699f5965925e.jpg,pricelist,New Price List
https://www.brabbu.com/resources/pdfFiles/stockListWW/brabbu_stock_list_world.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/1643c211-cdca-4cae-9fc5-6e1d301a0d1b.jpg,stockList,New Stock List
https://www.brabbu.com/resources/pdfs/catalogue/Brabbu-Book-2020.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/cf97de59-65ee-4d90-8fda-53bc0d91e675.jpg,Desconto,New Book Modern Contemporary Interiors
https://www.brabbu.com/resources/pdfs/catalogue/Brabbu-Book-2020.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/0cf180dc-d0a6-4ce2-8d20-9da36c798bf3.jpg,catalogue,New Catalogue
https://www.brabbu.com/resources/pdfFiles/ebooks/Book-Brabbu-2020-Modern-Style.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/57167ec7-74bf-4057-af0f-697187f37b2d.jpg,ebookM,New Book Modern Interiors
https://www.brabbu.com/resources/pdfFiles/ebooks/Book-Brabbu-2020-Mid-Century-Style.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/f4654fb0-3308-459c-b57b-9288af64e6a1.jpg,ebookMC,New Book Mid Century Interiors
https://www.brabbu.com/resources/pdfFiles/ebooks/Book-Brabbu-2020-Classic-Style.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/2739f08a-4434-4cda-87fd-7d89acfdeb75.jpg,ebookCS,New Book Classic Interiors
https://www.brabbu.com/resources/pdfFiles/ebooks/Book-Brabbu-2020-Contemporary-Style.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/8d385150-7aa6-4921-b71b-228dadfdbed6.jpg,ebookCT,New Book Contemporary Interiors
https://www.brabbu.com/resources/pdfs/catalogue/Brabbu-Book-2020.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/0cf180dc-d0a6-4ce2-8d20-9da36c798bf3.jpg,ebookGeral,BRABBU's 2020 Book - New Book Modern Contemporary Interiors
https://www.brabbu.com/resources/pdfFiles/ebooks/ebook-new-products-BRABBU.pdf,http://image.concierge.brabbu.com/lib/fe2f117075640475761c78/m/1/2db15217-236d-4147-a223-cc73b0f4c393.jpeg,NewProducts,New Products
